type,video_fname,rno,time(s),time(ms),offset (s),offset(ms),correct time (s),correct time (ms),time,temperature reading (f),tempK
uninsulated,non_insulated_1,1,4,0,4,0,0,0,0.0,73.9,296.4
uninsulated,non_insulated_1,2,4,200,4,0,0,200,0.2,74.1,296.5
uninsulated,non_insulated_1,3,5,0,4,0,1,0,1.0,83.4,301.7
uninsulated,non_insulated_1,4,5,600,4,0,1,600,1.6,83.6,301.8
uninsulated,non_insulated_1,5,6,400,4,0,2,400,2.4,84.2,302.2
uninsulated,non_insulated_1,6,7,200,4,0,3,200,3.2,89.6,305.2
uninsulated,non_insulated_1,7,8,600,4,0,4,600,4.6,89.7,305.2
uninsulated,non_insulated_1,8,9,400,4,0,5,400,5.4,89.9,305.3
uninsulated,non_insulated_1,9,10,200,4,0,6,200,6.2,90.1,305.4
uninsulated,non_insulated_1,10,11,0,4,0,7,0,7.0,90.5,305.7
uninsulated,non_insulated_1,11,11,800,4,0,7,800,7.8,90.8,305.8
uninsulated,non_insulated_1,12,12,400,4,0,8,400,8.4,91.0,305.9
uninsulated,non_insulated_1,13,13,200,4,0,9,200,9.2,91.4,306.2
uninsulated,non_insulated_1,14,14,0,4,0,10,0,10.0,91.7,306.3
uninsulated,non_insulated_1,15,14,800,4,0,10,800,10.8,92.1,306.5
uninsulated,non_insulated_1,16,15,600,4,0,11,600,11.6,92.4,306.7
uninsulated,non_insulated_1,17,16,200,4,0,12,200,12.2,92.6,306.8
uninsulated,non_insulated_1,18,17,0,4,0,13,0,13.0,92.8,306.9
uninsulated,non_insulated_1,19,17,800,4,0,13,800,13.8,93.0,307.0
uninsulated,non_insulated_1,20,18,600,4,0,14,600,14.6,93.2,307.2
uninsulated,non_insulated_1,21,19,400,4,0,15,400,15.4,93.3,307.2
uninsulated,non_insulated_1,22,20,800,4,0,16,800,16.8,93.5,307.3
uninsulated,non_insulated_1,23,21,600,4,0,17,600,17.6,93.7,307.4
uninsulated,non_insulated_1,24,23,0,4,0,19,0,19.0,93.9,307.5
uninsulated,non_insulated_1,25,24,600,4,0,20,600,20.6,94.1,307.7
uninsulated,non_insulated_1,26,27,0,4,0,23,0,23.0,94.2,307.7
uninsulated,non_insulated_1,27,30,200,4,0,26,200,26.2,94.4,307.8
uninsulated,non_insulated_1,28,33,600,4,0,29,600,29.6,94.6,307.9
uninsulated,non_insulated_1,29,38,400,4,0,34,400,34.4,94.8,308.0
uninsulated,non_insulated_1,30,45,0,4,0,41,0,41.0,95.0,308.2
uninsulated,non_insulated_1,31,51,600,4,0,47,600,47.6,95.1,308.2
uninsulated,non_insulated_1,32,57,800,4,0,53,800,53.8,95.3,308.3
uninsulated,non_insulated_1,33,64,600,4,0,60,600,60.6,95.5,308.4
uninsulated,non_insulated_1,34,71,800,4,0,67,800,67.8,95.7,308.5
uninsulated,non_insulated_1,35,79,800,4,0,75,800,75.8,95.9,308.7
uninsulated,non_insulated_1,36,89,0,4,0,85,0,85.0,96.0,308.7
uninsulated,non_insulated_1,37,98,800,4,0,94,800,94.8,96.2,308.8
uninsulated,non_insulated_2,38,4,200,4,200,0,0,0.0,75.2,297.2
uninsulated,non_insulated_2,1,4,400,4,200,0,200,0.2,82.2,301.0
uninsulated,non_insulated_2,2,5,200,4,200,1,0,1.0,82.5,301.2
uninsulated,non_insulated_2,3,7,600,4,200,3,400,3.4,89.0,304.8
uninsulated,non_insulated_2,4,10,200,4,200,6,0,6.0,90.1,305.4
uninsulated,non_insulated_2,5,10,600,4,200,6,400,6.4,90.5,305.7
uninsulated,non_insulated_2,6,11,200,4,200,7,0,7.0,91.0,305.9
uninsulated,non_insulated_2,7,12,0,4,200,8,-200,7.8,91.5,306.2
uninsulated,non_insulated_2,8,12,800,4,200,8,600,8.6,91.9,306.4
uninsulated,non_insulated_2,9,13,600,4,200,9,400,9.4,92.4,306.7
uninsulated,non_insulated_2,10,14,200,4,200,10,0,10.0,93.0,307.0
uninsulated,non_insulated_2,11,15,0,4,200,11,-200,10.8,93.3,307.2
uninsulated,non_insulated_2,12,15,800,4,200,11,600,11.6,93.5,307.3
uninsulated,non_insulated_2,13,16,600,4,200,12,400,12.4,93.9,307.5
uninsulated,non_insulated_2,14,17,400,4,200,13,200,13.2,94.1,307.7
uninsulated,non_insulated_2,15,18,0,4,200,14,-200,13.8,94.2,307.7
uninsulated,non_insulated_2,16,18,800,4,200,14,600,14.6,94.4,307.8
uninsulated,non_insulated_2,17,20,400,4,200,16,200,16.2,94.6,307.9
uninsulated,non_insulated_2,18,21,600,4,200,17,400,17.4,94.8,308.0
uninsulated,non_insulated_2,19,22,600,4,200,18,400,18.4,95.0,308.2
uninsulated,non_insulated_2,20,24,400,4,200,20,200,20.2,95.1,308.2
uninsulated,non_insulated_2,21,25,800,4,200,21,600,21.6,95.3,308.3
uninsulated,non_insulated_2,22,28,800,4,200,24,600,24.6,95.5,308.4
uninsulated,non_insulated_2,23,31,600,4,200,27,400,27.4,95.7,308.5
uninsulated,non_insulated_2,24,35,600,4,200,31,400,31.4,95.9,308.7
uninsulated,non_insulated_2,25,40,800,4,200,36,600,36.6,96.0,308.7
uninsulated,non_insulated_2,26,47,200,4,200,43,0,43.0,96.2,308.8
uninsulated,non_insulated_2,27,53,800,4,200,49,600,49.6,96.4,308.9
uninsulated,non_insulated_2,28,72,800,4,200,68,600,68.6,96.6,309.0
uninsulated,non_insulated_2,29,87,400,4,200,83,200,83.2,96.8,309.2
uninsulated,non_insulated_2,30,103,400,4,200,99,200,99.2,96.9,309.2
uninsulated,non_insulated_3,1,3,200,3,200,0,0,0.0,73.4,296.2
uninsulated,non_insulated_3,2,3,600,3,200,0,400,0.4,78.9,299.2
uninsulated,non_insulated_3,3,4,400,3,200,1,200,1.2,79.3,299.4
uninsulated,non_insulated_3,4,5,0,3,200,2,-200,1.8,87.2,303.8
uninsulated,non_insulated_3,5,5,800,3,200,2,600,2.6,87.4,303.9
uninsulated,non_insulated_3,6,6,600,3,200,3,400,3.4,87.6,304.0
uninsulated,non_insulated_3,7,7,400,3,200,4,200,4.2,88.1,304.3
uninsulated,non_insulated_3,8,8,0,3,200,5,-200,4.8,88.5,304.5
uninsulated,non_insulated_3,9,8,800,3,200,5,600,5.6,89.0,304.8
uninsulated,non_insulated_3,10,9,600,3,200,6,400,6.4,89.6,305.2
uninsulated,non_insulated_3,11,10,400,3,200,7,200,7.2,90.1,305.4
uninsulated,non_insulated_3,12,11,400,3,200,8,200,8.2,90.6,305.7
uninsulated,non_insulated_3,13,11,800,3,200,8,600,8.6,91.4,306.2
uninsulated,non_insulated_3,14,12,600,3,200,9,400,9.4,91.9,306.4
uninsulated,non_insulated_3,15,13,400,3,200,10,200,10.2,92.4,306.7
uninsulated,non_insulated_3,16,14,200,3,200,11,0,11.0,92.8,306.9
uninsulated,non_insulated_3,17,15,0,3,200,12,-200,11.8,93.0,307.0
uninsulated,non_insulated_3,18,15,600,3,200,12,400,12.4,93.3,307.2
uninsulated,non_insulated_3,19,16,400,3,200,13,200,13.2,93.5,307.3
uninsulated,non_insulated_3,20,17,200,3,200,14,0,14.0,93.7,307.4
uninsulated,non_insulated_3,21,18,0,3,200,15,-200,14.8,93.9,307.5
uninsulated,non_insulated_3,22,19,400,3,200,16,200,16.2,94.1,307.7
uninsulated,non_insulated_3,23,20,200,3,200,17,0,17.0,94.2,307.7
uninsulated,non_insulated_3,24,21,800,3,200,18,600,18.6,94.4,307.8
uninsulated,non_insulated_3,25,32,200,3,200,29,0,29.0,94.6,307.9
uninsulated,non_insulated_3,26,25,400,3,200,22,200,22.2,94.8,308.0
uninsulated,non_insulated_3,27,28,600,3,200,25,400,25.4,95.0,308.2
uninsulated,non_insulated_3,28,30,800,3,200,27,600,27.6,95.1,308.2
uninsulated,non_insulated_3,29,34,800,3,200,31,600,31.6,95.3,308.3
uninsulated,non_insulated_3,30,39,200,3,200,36,0,36.0,95.5,308.4
uninsulated,non_insulated_3,31,45,200,3,200,42,0,42.0,95.7,308.5
uninsulated,non_insulated_3,32,52,0,3,200,49,-200,48.8,95.9,308.7
uninsulated,non_insulated_3,33,60,200,3,200,57,0,57.0,96.0,308.7
uninsulated,non_insulated_3,34,70,800,3,200,67,600,67.6,96.2,308.8
uninsulated,non_insulated_3,35,83,0,3,200,80,-200,79.8,96.4,308.9
uninsulated,non_insulated_3,36,98,0,3,200,95,-200,94.8,96.6,309.0
uninsulated,non_insulated_3,37,118,200,3,200,115,0,115.0,96.8,309.2
insulated,insulated_1,1,2,400,2,400,0,0,0.0,73.9,296.4
insulated,insulated_1,2,2,800,2,400,0,400,0.4,74.1,296.5
insulated,insulated_1,3,4,200,2,400,2,-200,1.8,74.3,296.7
insulated,insulated_1,4,5,0,2,400,3,-400,2.6,74.6,296.8
insulated,insulated_1,5,5,800,2,400,3,400,3.4,75.0,297.0
insulated,insulated_1,6,6,600,2,400,4,200,4.2,75.5,297.3
insulated,insulated_1,7,7,400,2,400,5,0,5.0,76.2,297.7
insulated,insulated_1,8,8,0,2,400,6,-400,5.6,77.0,298.2
insulated,insulated_1,9,8,800,2,400,6,400,6.4,77.7,298.5
insulated,insulated_1,10,9,400,2,400,7,0,7.0,83.1,301.5
insulated,insulated_1,11,11,0,2,400,9,-400,8.6,83.3,301.7
insulated,insulated_1,12,11,800,2,400,9,400,9.4,83.4,301.7
insulated,insulated_1,13,12,600,2,400,10,200,10.2,83.6,301.8
insulated,insulated_1,14,13,400,2,400,11,0,11.0,84.0,302.0
insulated,insulated_1,15,14,0,2,400,12,-400,11.6,84.3,302.2
insulated,insulated_1,16,14,800,2,400,12,400,12.4,84.9,302.5
insulated,insulated_1,17,15,600,2,400,13,200,13.2,85.2,302.7
insulated,insulated_1,18,16,400,2,400,14,0,14.0,85.8,303.0
insulated,insulated_1,19,17,200,2,400,15,-200,14.8,86.3,303.3
insulated,insulated_1,20,17,800,2,400,15,400,15.4,86.9,303.7
insulated,insulated_1,21,18,600,2,400,16,200,16.2,87.4,303.9
insulated,insulated_1,22,19,400,2,400,17,0,17.0,87.8,304.2
insulated,insulated_1,23,20,200,2,400,18,-200,17.8,88.1,304.3
insulated,insulated_1,24,20,800,2,400,18,400,18.4,88.7,304.7
insulated,insulated_1,25,21,600,2,400,19,200,19.2,89.0,304.8
insulated,insulated_1,26,22,400,2,400,20,0,20.0,89.4,305.0
insulated,insulated_1,27,23,200,2,400,21,-200,20.8,89.6,305.2
insulated,insulated_1,28,24,0,2,400,22,-400,21.6,89.9,305.3
insulated,insulated_1,29,24,600,2,400,22,200,22.2,90.3,305.5
insulated,insulated_1,30,25,400,2,400,23,0,23.0,90.5,305.7
insulated,insulated_1,31,26,200,2,400,24,-200,23.8,90.8,305.8
insulated,insulated_1,32,27,0,2,400,25,-400,24.6,91.0,305.9
insulated,insulated_1,33,27,600,2,400,25,200,25.2,91.2,306.0
insulated,insulated_1,34,28,400,2,400,26,0,26.0,91.4,306.2
insulated,insulated_1,35,29,200,2,400,27,-200,26.8,91.7,306.3
insulated,insulated_1,36,30,0,2,400,28,-400,27.6,91.9,306.4
insulated,insulated_1,37,30,800,2,400,28,400,28.4,92.1,306.5
insulated,insulated_1,38,31,300,2,400,29,-100,28.9,92.3,306.7
insulated,insulated_1,39,33,0,2,400,31,-400,30.6,92.4,306.7
insulated,insulated_1,40,33,800,2,400,31,400,31.4,92.6,306.8
insulated,insulated_1,41,35,200,2,400,33,-200,32.8,92.8,306.9
insulated,insulated_1,42,36,400,2,400,34,0,34.0,93.0,307.0
insulated,insulated_2,1,4,400,4,400,0,0,0.0,74.2,296.6
insulated,insulated_2,2,4,800,4,400,0,400,0.4,74.6,296.8
insulated,insulated_2,3,5,400,4,400,1,0,1.0,74.8,296.9
insulated,insulated_2,4,6,200,4,400,2,-200,1.8,75.0,297.0
insulated,insulated_2,5,7,200,4,400,3,-200,2.8,75.3,297.2
insulated,insulated_2,6,7,800,4,400,3,400,3.4,75.9,297.5
insulated,insulated_2,7,8,400,4,400,4,0,4.0,76.4,297.8
insulated,insulated_2,8,9,200,4,400,5,-200,4.8,77.1,298.2
insulated,insulated_2,9,10,0,4,400,6,-400,5.6,77.9,298.7
insulated,insulated_2,10,10,800,4,400,6,400,6.4,78.8,299.2
insulated,insulated_2,11,11,600,4,400,7,200,7.2,79.7,299.7
insulated,insulated_2,12,12,200,4,400,8,-200,7.8,80.6,300.2
insulated,insulated_2,13,13,0,4,400,9,-400,8.6,81.5,300.7
insulated,insulated_2,14,13,800,4,400,9,400,9.4,82.4,301.2
insulated,insulated_2,15,14,600,4,400,10,200,10.2,83.1,301.5
insulated,insulated_2,16,15,400,4,400,11,0,11.0,84.0,302.0
insulated,insulated_2,17,16,0,4,400,12,-400,11.6,84.5,302.3
insulated,insulated_2,18,16,800,4,400,12,400,12.4,85.2,302.7
insulated,insulated_2,19,17,600,4,400,13,200,13.2,85.8,303.0
insulated,insulated_2,20,18,400,4,400,14,0,14.0,86.5,303.4
insulated,insulated_2,21,19,0,4,400,15,-400,14.6,87.0,303.7
insulated,insulated_2,22,19,800,4,400,15,400,15.4,87.4,303.9
insulated,insulated_2,23,20,600,4,400,16,200,16.2,87.9,304.2
insulated,insulated_2,24,21,400,4,400,17,0,17.0,88.5,304.5
insulated,insulated_2,25,22,200,4,400,18,-200,17.8,88.8,304.7
insulated,insulated_2,26,23,0,4,400,19,-400,18.6,89.2,304.9
insulated,insulated_2,27,23,600,4,400,19,200,19.2,89.6,305.2
insulated,insulated_2,28,24,400,4,400,20,0,20.0,89.9,305.3
insulated,insulated_2,29,25,200,4,400,21,-200,20.8,90.3,305.5
insulated,insulated_2,30,26,0,4,400,22,-400,21.6,90.5,305.7
insulated,insulated_2,31,26,600,4,400,22,200,22.2,90.8,305.8
insulated,insulated_2,32,27,400,4,400,23,0,23.0,91.0,305.9
insulated,insulated_2,33,28,200,4,400,24,-200,23.8,91.2,306.0
insulated,insulated_2,34,29,0,4,400,25,-400,24.6,91.5,306.2
insulated,insulated_2,35,29,600,4,400,25,200,25.2,91.7,306.3
insulated,insulated_2,36,30,400,4,400,26,0,26.0,91.9,306.4
insulated,insulated_2,37,31,200,4,400,27,-200,26.8,92.1,306.5
insulated,insulated_2,38,32,200,4,400,28,-200,27.8,92.3,306.7
insulated,insulated_2,39,32,800,4,400,28,400,28.4,92.4,306.7
insulated,insulated_2,40,33,600,4,400,29,200,29.2,92.6,306.8
insulated,insulated_2,41,34,600,4,400,30,200,30.2,92.8,306.9
insulated,insulated_2,42,35,0,4,400,31,-400,30.6,93.0,307.0
insulated,insulated_2,43,36,600,4,400,32,200,32.2,93.2,307.2
insulated,insulated_2,44,37,400,4,400,33,0,33.0,93.3,307.2
insulated,insulated_2,45,38,800,4,400,34,400,34.4,93.5,307.3
insulated,insulated_2,46,40,400,4,400,36,0,36.0,93.7,307.4
insulated,insulated_2,47,41,800,4,400,37,400,37.4,93.9,307.5
insulated,insulated_2,48,42,600,4,400,38,200,38.2,94.1,307.7
insulated,insulated_2,49,45,0,4,400,41,-400,40.6,94.2,307.7
insulated,insulated_3,1,9,400,9,400,0,0,0.0,75.5,297.3
insulated,insulated_3,2,9,600,9,400,0,200,0.2,75.7,297.4
insulated,insulated_3,3,10,400,9,400,1,0,1.0,76.1,297.7
insulated,insulated_3,4,11,0,9,400,2,-400,1.6,76.4,297.8
insulated,insulated_3,5,11,800,9,400,2,400,2.4,77.0,298.2
insulated,insulated_3,6,12,600,9,400,3,200,3.2,77.7,298.5
insulated,insulated_3,7,13,400,9,400,4,0,4.0,83.1,301.5
insulated,insulated_3,8,14,800,9,400,5,400,5.4,83.3,301.7
insulated,insulated_3,9,15,600,9,400,6,200,6.2,83.4,301.7
insulated,insulated_3,10,16,400,9,400,7,0,7.0,83.8,301.9
insulated,insulated_3,11,17,200,9,400,8,-200,7.8,84.2,302.2
insulated,insulated_3,12,18,0,9,400,9,-400,8.6,84.5,302.3
insulated,insulated_3,13,18,600,9,400,9,200,9.2,85.1,302.7
insulated,insulated_3,14,19,400,9,400,10,0,10.0,85.4,302.8
insulated,insulated_3,15,20,200,9,400,11,-200,10.8,86.0,303.2
insulated,insulated_3,16,21,200,9,400,12,-200,11.8,86.7,303.5
insulated,insulated_3,17,21,800,9,400,12,400,12.4,87.2,303.8
insulated,insulated_3,18,22,400,9,400,13,0,13.0,87.8,304.2
insulated,insulated_3,19,23,200,9,400,14,-200,13.8,88.1,304.3
insulated,insulated_3,20,24,0,9,400,15,-400,14.6,88.5,304.5
insulated,insulated_3,21,24,800,9,400,15,400,15.4,89.0,304.8
insulated,insulated_3,22,25,400,9,400,16,0,16.0,89.4,305.0
insulated,insulated_3,23,26,200,9,400,17,-200,16.8,89.7,305.2
insulated,insulated_3,24,27,0,9,400,18,-400,17.6,90.1,305.4
insulated,insulated_3,25,27,800,9,400,18,400,18.4,90.3,305.5
insulated,insulated_3,26,28,400,9,400,19,0,19.0,90.6,305.7
insulated,insulated_3,27,29,200,9,400,20,-200,19.8,90.8,305.8
insulated,insulated_3,28,30,0,9,400,21,-400,20.6,91.0,305.9
insulated,insulated_3,29,30,800,9,400,21,400,21.4,91.4,306.2
insulated,insulated_3,30,31,600,9,400,22,200,22.2,91.5,306.2
insulated,insulated_3,31,32,400,9,400,23,0,23.0,91.7,306.3
insulated,insulated_3,32,33,0,9,400,24,-400,23.6,91.9,306.4
insulated,insulated_3,33,33,800,9,400,24,400,24.4,92.1,306.5
insulated,insulated_3,34,34,600,9,400,25,200,25.2,92.3,306.7
insulated,insulated_3,35,35,400,9,400,26,0,26.0,92.4,306.7
insulated,insulated_3,36,36,0,9,400,27,-400,26.6,92.6,306.8
insulated,insulated_3,37,37,600,9,400,28,200,28.2,92.8,306.9
insulated,insulated_3,38,38,400,9,400,29,0,29.0,93.0,307.0
insulated,insulated_3,39,39,800,9,400,30,400,30.4,93.2,307.2
insulated,insulated_3,40,41,400,9,400,32,0,32.0,93.3,307.2
insulated,insulated_3,41,43,0,9,400,34,-400,33.6,93.5,307.3
insulated,insulated_3,42,44,400,9,400,35,0,35.0,93.7,307.4
insulated,insulated_3,43,46,800,9,400,37,400,37.4,93.9,307.5
insulated,insulated_3,44,48,200,9,400,39,-200,38.8,94.1,307.7
insulated,insulated_3,45,50,400,9,400,41,0,41.0,94.2,307.7
insulated,insulated_3,46,52,800,9,400,43,400,43.4,94.4,307.8
insulated,insulated_3,47,55,800,9,400,46,400,46.4,94.6,307.9
insulated,insulated_3,48,60,200,9,400,51,-200,50.8,94.8,308.0
